geoid10,poi_count,count_poi_types,poi_type_list,poi_list
17031010100,13,10,"restaurant, bicycle_rental, bicycle_rental, bureau_de_change, restaurant, money_transfer, convenience, storage_rental, place_of_worship, bicycle, school, community_centre, community_centre","TJam Kitchen, Bosworth Ave & Howard St, Eastlake Ter & Rogers Ave, Howard & Paulina Currency Exchange, Super Bros. Pizzeria, MoneyGram, Howard Grocery Plus, The Lock Up, Abundant Life Mission Church, The Recyclery Collective, Stephen F. Gale Math and Science Academy, Willye B. White Park Fieldhouse, Howard Area Community Center"
17031010201,20,13,"convenience, cannabis, bar, bicycle_rental, bicycle_rental, pawnbroker, restaurant, restaurant, mobile_phone, school, clothes, restaurant, restaurant, restaurant, place_of_worship, dry_cleaning, storage_rental, fast_food, fast_food, school","Zen Leaf, Monsen’s Tally Ho Pub, Wolcott Ave & Fargo Ave, Ridge Blvd & Howard St, Cash America Pawn, Badou Senegalese Cuisine, Howard Deli, Time Line Communications, Kingdom Academy learning center, Exclusive Boutique inc, Mica's Mexican Restaurant, Howard Street Soul, Tasty Sub, Way Mission Church, Howard Cleaners, Public Storage, Popeyes, Buffalo Joe's, Jordan Community Elementary School"
17031010202,38,25,"fast_food, bank, department_store, bicycle_rental, post_office, storage_rental, mobile_phone, bank, ice_cream, dentist, clothes, clothes, convenience, cafe, artwork, artwork, artwork, artwork, artwork, shoes, clothes, supermarket, fire_station, butcher, fuel, greengrocer, chemist, car, community_centre, bank, school, fast_food, convenience, bus_station, tobacco, mobile_phone, fast_food, bicycle_rental","Dunkin', Chase, Burlington, Clark St & Jarvis Ave, The UPS Store, Extra Space Storage, T-Mobile, Associated Bank, Baskin-Robbins, Aspen Dental, Citi Trends, DTLR, Around the Clock Food Store, Starbucks, 24/7, Destination: Points Unknown, PJ Footwear, Rainbow, Jewel-Osco, Chicago Fire Department Engine Company 102, Romanian Kosher Sausage Co, Amoco, Rogers Park Fruit Market, Walgreens, 5 Stars Auto Service And Sales, Howard Area Community Center, Bank of America, Chicago Math and Science Academy, Burger King, Amoco, Paulina & Howard Terminal, Bestow Smoke & Vape, Metro by T-Mobile, Subway, Paulina St & Howard St"
17031010300,28,16,"school, animal_boarding, bakery, cafe, bar, bicycle_rental, restaurant, antiques, convenience, artwork, artwork, artwork, artwork, artwork, artwork, artwork, fuel, bar, storage_rental, car_repair, social_facility, place_of_worship, motel, bar, social_facility, social_facility, convenience, storage_rental","Camelot School, Rogers Bark Pet Salon, Caribbean American Bakery, Charmers Cafe, Lighthouse Tavern, Greenview Ave & Jarvis Ave, Anto Pizza & Pasta Chicago, Lost Eras, Light Mini Mart, Coloribbean Mural, A Neighborhood Piazza, BP, R Public House, Public Storage, Elite Auto Repair, Aperion Care Lakeshore, Apostolic Catholic Assyrian Church, Super 8 by Wyndham Chicago, Jarvis Square Tavern, The Waterford Care Center, Alden Village North, Eddy's Food Mart, Kellees Storage"
17031010400,32,14,"pet, convenience, bicycle_rental, convenience, bank, convenience, bar, books, restaurant, bar, cafe, cafe, restaurant, restaurant, fast_food, artwork, artwork, artwork, artwork, cafe, artwork, information, information, artwork, artwork, information, restaurant, university, library, place_of_worship, fast_food, library","Grooming by Galdy, Sonny's Food Store, Sheridan Rd & Greenleaf Ave, 7-Eleven, Chase, 7-Eleven, Oasis, The Armadillo's Pillow Bookstore, Cafe Nova, Ireland’s Pub, XO Marshmallow, Nibbles and Nosh, Twisted Tapas, Asahi Roll, Subway, Lunar Disc I, Los Lobos de Loyola, Chinese Armillary, Connections Café, Arnold J. Damen, S.J., Wounded Angel, Eggs With Benefits, Loyola University Chicago, Cudahy Library, Madonna Della Strada Chapel, Blue Jay Cafe, Information Commons"
17031010501,10,8,"theatre, bicycle_rental, restaurant, convenience, e-cigarette, money_transfer, convenience, place_of_worship, restaurant, fuel","Rhapsody Theater, Glenwood Ave & Morse Ave, Asian Station, Food Mart, Vape & Dope, Morse Currency Exchange, Shell, Kingdom Hall of Jehovah's Witnesses, J.B. Alberto's, Shell"
17031010502,17,8,"fast_food, cinema, cafe, restaurant, restaurant, restaurant, restaurant, bicycle_rental, social_centre, social_centre, cafe, atm, artwork, social_centre, social_centre, social_centre, restaurant","Chipotle, The New 400 Movie Theaters, Royal Coffee, bopNgrill, Rice Thai Cafe, Great Wall, Roger's Wing, Sheridan Rd & Columbia Ave, Tau Kappa Epsilon, Sigma Chi, Taichi Bubble Tea, Bank of America, Tau Kappa Epsilon, Beta Theta Pi, Sigma Chi, Giordano's Pizzeria"
17031010503,28,17,"theatre, bar, fast_food, mobile_phone, fast_food, chemist, school, cafe, pastry, department_store, bank, restaurant, fast_food, fast_food, fast_food, pawnbroker, post_office, restaurant, fast_food, fast_food, school, social_centre, social_centre, place_of_worship, hotel, hotel, bicycle_rental, fast_food","Saint Ignatius Auditorium, Brunos Lounge, Potbelly, T-Mobile, Taco Bell, CVS Pharmacy, Chicago Waldorf School - Buttercup Room, Starbucks, Insomnia Cookies, Target, BMO, Blaze Pizza, Raising Cane's, Chi Tea, Tropical Smoothie Cafe, Cash America Pawn, The UPS Store, Khmai Restaurant, Auntie Anne's, Auntie Anne's, Chicago Waldorf School, Delta Sigma Phi - Epsilon Kappa, Delta Sigma Phi, Saint Ignatius Roman Catholic Church, The Flats at Loyola Station, Hampton Inn Chicago North-Loyola Station, Sheridan Rd & Loyola Ave, Dunkin'"
17031010600,51,21,"bar, cafe, supermarket, gift, variety_store, laundry, bar, bar, restaurant, restaurant, bicycle_rental, restaurant, fast_food, alcohol, arts_centre, tattoo, esoteric, florist, restaurant, dry_cleaning, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, artwork, convenience, supermarket, social_facility, place_of_worship, theatre, place_of_worship, fast_food, school, school","Rogers Park Social, Common Cup, Morse Fresh Market, Rogers Park Provisions, Family Dollar, Bubble City, Cunneen’s, Le Piano, Kimchi Pop, South Of The Border Restaurant & Bar, Glenwood Ave & Touhy Ave, Los Portales, Morse Gyros, Morse Liquor, PO Box Collective, Weird Girl Ink, Malliway Bros., Rogers Park Florist, Loyola Dry Cleaners, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Mile of Murals, Pride Flag, Mile of Murals, Mile of Murals, Towards the nature of light, 7-Eleven, Devon Market, Farwell House, Rogers Park Presbyterian Church, Lifeline Theatre, United Church of Rogers Park, Dunkin', Kilmer Elementary School, Field Elementary School"
17031010701,6,6,"bicycle_rental, hairdresser, mobile_phone, clinic, dry_cleaning, place_of_worship","Ridge Blvd & Touhy Ave, Black Pearl, LycaMobile, Ridge Medical Center, 2pro Cleaners, Rogers Park Baptist Church"
